"Precip_day","dayDate","vehicule_1_cadmin","vehicle_2_cadmin","usager_1_grav","Long","Lat","DayOfWeek","Day","Month","Year","Hour","FourHours","adresse","carr","year_quarter","MonthYear","TempMin","TempMax","Precip","DureeEnsol","Temp_max","Temp_min","Freq"
1.4,2012-04-27,"Voiture","Aucun","Aucun Blessé",2.324479,48.845884,"Vendredi",27,"Avril",2012,9,"08H-12H","02, RUE BLAISE DESGOFFE","1_75106_4312","2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2013-02-11,"Voiture","Voiture","Aucun Blessé",2.347466,48.893938,"Dimanche",10,"Février",2013,15,"12H-16H","27, BOULEVARD ORNANO","1_75118_6816","2013 Q1","Février 2013",1.3,6,37.4,64.6,8.9,1.6,277
1.4,2012-04-27,"Voiture","Aucun","Blessé Léger",2.337347,48.881836,"Vendredi",27,"Avril",2012,3,"00H-04H","16, RUE FROCHOT",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2012-04-27,"Voiture","Vélo","Aucun Blessé",2.365298,48.85375,"Vendredi",27,"Avril",2012,9,"08H-12H","28, RUE SAINT ANTOINE","1_75104_8581","2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2012-10-15,"Voiture","Autobus","Aucun Blessé",2.282278,48.862507,"Lundi",15,"Octobre",2012,11,"08H-12H","PLACE DU TROCADERO","1_75116_1501","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2013-05-21,"Voiture","Aucun","Blessé Léger",2.29842,48.833364,"Lundi",20,"Mai",2013,20,"20H-00H","36, RUE DE DANTZIG","1_75115_2360","2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-10-28,"Vélo","Aucun","Blessé Léger",2.301276,48.864908,"Dimanche",28,"Octobre",2012,3,"00H-04H","PONT DE L ALMA",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2012-10-28,"Vélo","Voiture","Blessé Léger",2.395193,48.849465,"Samedi",27,"Octobre",2012,19,"16H-20H","1, AVENUE PHILIPPE AUGUS","1_75111_11033","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-04-04,"Voiture","Deux Roues 50-125","Aucun Blessé",2.351465,48.866567,"Mercredi",3,"Avril",2013,20,"20H-00H","80, RUE REAUMUR","1_75102_7190","2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2012-10-28,"Voiture","Deux Roues 50-125","Aucun Blessé",2.322446,48.828557,"Samedi",27,"Octobre",2012,13,"12H-16H","2, PLACE DU VINGT CINQ A","1_75114_4456","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-05-21,"Deux Roues 50-125","Aucun","Blessé Léger",2.354178,48.865773,"Lundi",20,"Mai",2013,16,"16H-20H","41, RUE REAUMUR","1_75103_7504","2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-04-27,"Voiture","Aucun","Blessé Léger",2.397086,48.851176,"Jeudi",26,"Avril",2012,17,"16H-20H","125, RUE DE MONTREUIL",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2013-02-11,"Voiture","Deux Roues > 125","Aucun Blessé",2.357607,48.826045,"Dimanche",10,"Février",2013,20,"20H-00H","61, AVENUE D ITALIE","1_75113_7853","2013 Q1","Février 2013",1.3,6,37.4,64.6,8.9,1.6,277
1.4,2013-04-04,"Deux Roues 50-125","Aucun","Blessé Léger",2.376339,48.847001,"Mercredi",3,"Avril",2013,19,"16H-20H","61, AVENUE DAUMESNIL",NA,"2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2013-04-04,"Voiture","Aucun","Aucun Blessé",2.354569,48.863307,"Jeudi",4,"Avril",2013,11,"08H-12H","67, RUE BEAUBOURG","1_75103_7581","2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2012-04-27,"Vélo","Voiture","Blessé Léger",2.385855,48.856427,"Vendredi",27,"Avril",2012,10,"08H-12H","58, RUE LEON FROT","1_75111_10288","2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2013-03-13,"Poids Lourd","Deux Roues 50-125","Aucun Blessé",2.266036,48.838937,"Mardi",12,"Mars",2013,13,"12H-16H","191, BOULEVARD MURAT","1_75116_520","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2013-03-13,"Vélo","Aucun","Blessé Léger",2.353691,48.865021,"Mercredi",13,"Mars",2013,9,"08H-12H","45, RUE DE TURBIGO","1_75103_7445","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2012-04-27,"Deux Roues > 125","Voiture","Aucun Blessé",2.395566,48.868409,"Jeudi",26,"Avril",2012,13,"12H-16H","279, RUE DES PYRENEES",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2012-10-28,"Voiture","Aucun","Blessé Hospitalisé",2.337628,48.884712,"Dimanche",28,"Octobre",2012,10,"08H-12H","25, RUE DES ABBESSES",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-05-21,"Deux Roues 50-125","Aucun","Blessé Léger",2.313893,48.867195,"Mardi",21,"Mai",2013,9,"08H-12H","PLACE CLEMENCEAU","1_75108_3502","2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-10-15,"Autobus","Vélo","Aucun Blessé",2.341552,48.848118,"Lundi",15,"Octobre",2012,11,"08H-12H","53, BOULEVARD SAINT MICH","1_75105_6019","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2012-04-27,"Deux Roues > 125","Voiture","Aucun Blessé",2.290884,48.883971,"Jeudi",26,"Avril",2012,19,"16H-20H","BD PERIPHERIQUE INTERIEU",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2013-02-11,"Vélo","Voiture","Blessé Léger",2.304316,48.870842,"Dimanche",10,"Février",2013,18,"16H-20H","AVENUE DES CHAMPS ELYSEE",NA,"2013 Q1","Février 2013",1.3,6,37.4,64.6,8.9,1.6,277
1.4,2012-10-28,"Deux Roues 50-125","Aucun","Blessé Hospitalisé",2.342418,48.844541,"Samedi",27,"Octobre",2012,21,"20H-00H","RUE SAINT JACQUES","1_75105_6463","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2012-10-28,"Vélo","Voiture","Aucun Blessé",2.37031,48.869826,"Samedi",27,"Octobre",2012,20,"20H-00H","59, RUE DU FAUBOURG DU T",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-04-04,"Voiture","Aucun","Aucun Blessé",2.403097,48.836589,"Mercredi",3,"Avril",2013,12,"12H-16H","256, AVENUE DAUMESNIL","1_75112_11608","2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2013-03-13,"Voiture","Deux Roues > 125","Aucun Blessé",2.282347,48.833199,"Mardi",12,"Mars",2013,19,"16H-20H","35, AVENUE DE LA PORTE B","1_75115_2492","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2012-11-09,"Deux Roues > 125","Voiture","Blessé Léger",2.395859,48.889625,"Vendredi",9,"Novembre",2012,8,"08H-12H","PORTE DE PANTIN",NA,"2012 Q4","Novembre 2012",6,10.3,43.8,38.2,12.2,5.5,277
1.4,2012-11-09,"Voiture","Aucun","Blessé Léger",2.348579,48.830087,"Jeudi",8,"Novembre",2012,19,"16H-20H","62, BOULEVARD AUGUSTE BL","1_75113_6866","2012 Q4","Novembre 2012",6,10.3,43.8,38.2,12.2,5.5,277
1.4,2013-03-13,"Voiture","Aucun","Aucun Blessé",2.340919,48.894824,"Mardi",12,"Mars",2013,18,"16H-20H","48, RUE DU POTEAU","1_75118_5936","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2013-10-31,"Deux Roues > 125","Voiture","Blessé Léger",2.355416,48.831637,"Mercredi",30,"Octobre",2013,20,"20H-00H","30, PLACE D ITALIE","1_75113_7716","2013 Q4","Octobre 2013",11.7,17.8,43.4,96.5,14.6,7.1,277
